Feed Processing Summary:
   Total records processed	  2088
   Rejected               	 - 102
                          	=======
   Accepted               	  1986

original-record-number	sku	error-code	error-type	error-message
1402	TONER-Kyocera-Mita-TK562K	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Kyocera-Mita-TK562K.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1403	TONER-Kyocera-Mita-TK562M	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Kyocera-Mita-TK562M.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1404	TONER-Kyocera-Mita-TK562Y	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Kyocera-Mita-TK562Y.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1430	TONER-Lexmark-53P7706	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Lexmark-53P7706.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1447	TONER-Lexmark-C546U1KG	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Lexmark-C546U1KG.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
145	INK-Canon-BCI-5PM-6PM	99037	Warning	The "UPC" (00750845726299) field contains an invalid value.
147	INK-Canon-BCI-61	99037	Warning	The "UPC" (00750845722666) field contains an invalid value.
1473	TONER-Lexmark-X651H11A	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Lexmark-X651H11A.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
148	INK-Canon-BCI-62	99037	Warning	The "UPC" (00750845722673) field contains an invalid value.
149	INK-Canon-BCI-6G	99037	Warning	The "UPC" (00013803040180) field contains an invalid value.
1490	TONER-Okidata-42918981	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Okidata-42918981.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1491	TONER-Okidata-42918982	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Okidata-42918982.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1492	TONER-Okidata-42918983	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Okidata-42918983.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1493	TONER-Okidata-42918984	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Okidata-42918984.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
150	INK-Canon-BCI-6R	99037	Warning	The "UPC" (00013803029888) field contains an invalid value.
151	INK-Canon-BCI-8BK	20009	Warning	110 minimum is required length on longest side, actual width of image submitted 101, actual height of image submitted 103 
151	INK-Canon-BCI-8BK	99037	Warning	The "UPC" (00750845722796) field contains an invalid value.
152	INK-Canon-BCI-8C	99037	Warning	The "UPC" (00750845722840) field contains an invalid value.
1524	TONER-Okidata-44574701	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Okidata-44574701.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1525	TONER-Okidata-44574901	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Okidata-44574901.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1526	TONER-Panasonic-KX-FAT92	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Panasonic-KX-FAT92.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1527	TONER-Panasonic-KX-FATC506	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/original/TONER-Panasonic-KX-FATC506.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
