MOM Increase (no. of Orders),,6,4,-9,5,-3,-1,-1,0,2,1,-1,-4,,YOY Increase (no. of Orders),-1
MOM Increase (no. of Qty),,4,10,-13,5,-5,0,-2,3,0,0,1,-5,,YOY Increase (no. of Qty),-2
MOM % Increase (no. of Orders),,120%,36.36%,-60%,83.33%,-27.27%,-12.5%,-14.29%,0%,33.33%,12.5%,-11.11%,-50%,,YOY % Increase (no. of Orders),-20%
MOM % Increase (no. of Qty),,57.14%,90.91%,-61.9%,62.5%,-38.46%,0%,-25%,50%,0%,0%,11.11%,-50%,,YOY % Increase (no. of Qty),-28.57%
 
ZINK-Lexmark-32-33-Combo2
,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,
No. of Orders,20,16,29,19,23,14,9,18,17,22,20,24,22,
No. of Qty,21,19,35,19,27,16,10,22,21,28,20,26,24,
MOM Increase (no. of Orders),,-4,13,-10,4,-9,-5,9,-1,5,-2,4,-2,,YOY Increase (no. of Orders),2
MOM Increase (no. of Qty),,-2,16,-16,8,-11,-6,12,-1,7,-8,6,-2,,YOY Increase (no. of Qty),3
MOM % Increase (no. of Orders),,-20%,81.25%,-34.48%,21.05%,-39.13%,-35.71%,100%,-5.56%,29.41%,-9.09%,20%,-8.33%,,YOY % Increase (no. of Orders),10%
MOM % Increase (no. of Qty),,-9.52%,84.21%,-45.71%,42.11%,-40.74%,-37.5%,120%,-4.55%,33.33%,-28.57%,30%,-7.69%,,YOY % Increase (no. of Qty),14.29%
 
ZTONER-Brother-TN650-Combo2
,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,
No. of Orders,6,4,8,4,5,3,8,1,4,5,8,4,8,
No. of Qty,6,5,8,7,5,3,8,1,6,7,8,4,9,
MOM Increase (no. of Orders),,-2,4,-4,1,-2,5,-7,3,1,3,-4,4,,YOY Increase (no. of Orders),2
MOM Increase (no. of Qty),,-1,3,-1,-2,-2,5,-7,5,1,1,-4,5,,YOY Increase (no. of Qty),3
MOM % Increase (no. of Orders),,-33.33%,100%,-50%,25%,-40%,166.67%,-87.5%,300%,25%,60%,-50%,100%,,YOY % Increase (no. of Orders),33.33%
MOM % Increase (no. of Qty),,-16.67%,60%,-12.5%,-28.57%,-40%,166.67%,-87.5%,500%,16.67%,14.29%,-50%,125%,,YOY % Increase (no. of Qty),50%
 
ZINK-HP-HP564XL-Combo11
,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,
No. of Orders,152,159,161,179,229,196,153,157,167,238,246,247,194,
No. of Qty,162,170,177,185,247,209,158,165,180,254,257,263,199,
MOM Increase (no. of Orders),,7,2,18,50,-33,-43,4,10,71,8,1,-53,,YOY Increase (no. of Orders),42
MOM Increase (no. of Qty),,8,7,8,62,-38,-51,7,15,74,3,6,-64,,YOY Increase (no. of Qty),37
MOM % Increase (no. of Orders),,4.61%,1.26%,11.18%,27.93%,-14.41%,-21.94%,2.61%,6.37%,42.51%,3.36%,0.41%,-21.46%,,YOY % Increase (no. of Orders),27.63%
MOM % Increase (no. of Qty),,4.94%,4.12%,4.52%,33.51%,-15.38%,-24.4%,4.43%,9.09%,41.11%,1.18%,2.33%,-24.33%,,YOY % Increase (no. of Qty),22.84%
 
