Record #,Problem code,Problem message,Category,Manufacturer,Product Name,Merchant SKU,Product URL,Price,MPN,UPC
395,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T032420 Inkjet Cartridge,INK-Epson-T032420,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T032420&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343837218
396,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T033120 Black Inkjet Cartridge,INK-Epson-T033120,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T033120&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343843288
397,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T033220 Cyan Inkjet Cartridge,INK-Epson-T033220,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T033220&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343843295
398,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T033320 Magenta Inkjet Cartridge,INK-Epson-T033320,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T033320&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343843301
399,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T033420 Yellow Inkjet Cartridge,INK-Epson-T033420,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T033420&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343843318
400,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T033520 Light Cyan Inkjet Cartridge,INK-Epson-T033520,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T033520&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343843325
401,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T033620 Light Magenta Inkjet Cartridge,INK-Epson-T033620,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T033620&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343843332
402,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T034120 Photo Black Inkjet Cartridge,INK-Epson-T034120,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T034120&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343841024
403,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T034220 Cyan Inkjet Cartridge,INK-Epson-T034220,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T034220&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343841031
404,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T034320 Magenta Inkjet Cartridge,INK-Epson-T034320,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T034320&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343841048
405,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T034420 Yellow Inkjet Cartridge,INK-Epson-T034420,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T034420&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343841055
406,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T034520 Light Cyan Inkjet Cartridge,INK-Epson-T034520,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T034520&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343841062
407,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T034620 Light Magenta Inkjet Cartridge,INK-Epson-T034620,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T034620&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343841079
408,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T034720 Light Black Inkjet Cartridge,INK-Epson-T034720,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T034720&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343841086
409,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Epson T034820 Matte Black Inkjet Cartridge,INK-Epson-T034820,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T034820&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343841093
410,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T036120 Inkjet Cartridge,INK-Epson-T036120,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T036120&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.99,,00010343842328
411,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T037020 Inkjet Cartridge,INK-Epson-T037020,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T037020&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.99,,00010343842335
412,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T038201 Inkjet Cartridge,INK-Epson-T038201,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T038201&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.99,,
413,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T039020 Inkjet Cartridge,INK-Epson-T039020,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T039020&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.99,,
414,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T040120 Inkjet Cartridge,INK-Epson-T040120,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T040120&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343842465
415,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T041020 Inkjet Cartridge,INK-Epson-T041020,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T041020&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343842533
416,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T042220 Inkjet Cartridge,INK-Epson-T042220,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T042220&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343843752
417,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T042320 Inkjet Cartridge,INK-Epson-T042320,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T042320&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343843769
418,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T042420 Inkjet Cartridge,INK-Epson-T042420,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T042420&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343843776
419,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T043120 Inkjet Cartridge,INK-Epson-T043120,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T043120&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343846869
420,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T044120 Inkjet Cartridge,INK-Epson-T044120,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T044120&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343846876
421,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T044220 Inkjet Cartridge,INK-Epson-T044220,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T044220&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343846883
422,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T044320 Inkjet Cartridge,INK-Epson-T044320,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T044320&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,
423,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T044420 Inkjet Cartridge,INK-Epson-T044420,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T044420&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,2.99,,00010343846906
424,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T048120 Inkjet Cartridge,INK-Epson-T048120,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T048120&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.99,,00010343847088
425,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T048220 Inkjet Cartridge,INK-Epson-T048220,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T048220&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.99,,00010343847095
426,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T048320 Inkjet Cartridge,INK-Epson-T048320,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T048320&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.99,,00010343847101
427,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T048420 Inkjet Cartridge,INK-Epson-T048420,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T048420&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.99,,00010343847118
428,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T048520 Inkjet Cartridge,INK-Epson-T048520,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T048520&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.99,,00010343847125
429,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T048620 Inkjet Cartridge,INK-Epson-T048620,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T048620&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.99,,00010343847132
430,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T054020 Inkjet Cartridge,INK-Epson-T054020,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T054020&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.49,,00010343848993
431,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T054120 Inkjet Cartridge,INK-Epson-T054120,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T054120&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.49,,00010343848924
432,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T054220 Inkjet Cartridge,INK-Epson-T054220,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T054220&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.49,,00010343848931
433,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T054320 Inkjet Cartridge,INK-Epson-T054320,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T054320&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.49,,00010343848948
434,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T054420 Inkjet Cartridge,INK-Epson-T054420,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T054420&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.49,,00010343848955
435,222,Used or refurbished products are not listed currently,Computers > Cartridges and Toners,Epson,Remanufactured Epson T054720 Inkjet Cartridge,INK-Epson-T054720,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Epson-T054720&utm_source=shoppingcom&utm_medium=shoppingengine&utm_campaign=shoppingcomshopping&,3.49,,00010343848962
