Feed Processing Summary:
   Total records processed	 2104
   Rejected               	 - 20
                          	======
   Accepted               	 2084

original-record-number	sku	error-code	error-type	error-message
1522	PH-5x7-GLOSSY-20PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-5x7-GLOSSY-20PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1523	PH-5x7-LUSTRE-20PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-5x7-LUSTRE-20PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1524	PH-5x7-MATTE-20PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-5x7-MATTE-20PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1525	PH-5x7-CANVAS-20PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-5x7-CANVAS-20PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1526	PH-5x7-GLOSSY-100PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-5x7-GLOSSY-100PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1527	PH-5x7-LUSTRE-100PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-5x7-LUSTRE-100PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1528	PH-5x7-MATTE-100PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-5x7-MATTE-100PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
1529	PH-5x7-CANVAS-100PK	20000	Warning	Error downloading image from URL: http://www.compandsave.com/v/vspfiles/photos/PH-5x7-CANVAS-100PK-2T.jpg . HTTP Status Code: 404.  For more details, see http://sellercentral.amazon.com/gp/errorcode/20004
153	INK-HP-C6656AN	90117	Warning	The Description field contains an invalid value: Product InfoHP 56 - C6656AN C6656A (Compatible) Black Ink CartridgeWe carry a variety of Replacem... The value exceeds the maximum number of characters allowed: 2000.
154	INK-HP-C6657AN	90117	Warning	The Description field contains an invalid value: Product InfoHP 57 - C6657AN (Compatible) Tri-Color Inkjet CartridgeWe carry a variety of Replacem... The value exceeds the maximum number of characters allowed: 2000.
155	INK-HP-C9425A	99037	Warning	The "UPC" (00808736670852) field contains an invalid value.
