Unique Product Identifier	Manufacturer	Manufacturer Part #	Product Name	Description	Price	Click-out URL	NexTag Product Cat.	Image URL	Stock Status	Product Condition	Ground Shipping	Weight	Promo Type	Promo Text	List Price	Coupon Code Discount	Coupon URL Discount	Cost-per-Click
INK-Xerox-8R7880	Xerox	8R7880	Xerox 8R7880 Tri-Color Ink cartridge	Replacement forXerox 8R7880 Color Inkjet Cartridge	11.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R7880&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-8R7880.jpg	Yes	New	3.99	0.185625	free shipping	Free Shipping on orders over $50.00	23.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R7881	Xerox	8R7881	Xerox 8R7881 Black Ink cartridge	Replacement for Xerox 8R7881 Black Inkjet Cartridge	11.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R7881&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-8R7881.jpg	Yes	New	3.99	0.166875	free shipping	Free Shipping on orders over $50.00	25.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R7972	Xerox	8R7972	Xerox 8R7972 Cyan Ink cartridge	Compatible Cyan Ink Cartridge for Xerox 8R7972 (Y101)	2.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R7972&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-8R7972.jpg	Yes	New	3.99	1	free shipping	Free Shipping on orders over $50.00	7.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R7973	Xerox	8R7973	Xerox 8R7973 Magenta Ink cartridge	Compatible Magenta Ink Cartridge for Xerox 8R7973 (Y102)	2.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R7973&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-8R7973.jpg	Yes	New	3.99	1	free shipping	Free Shipping on orders over $50.00	7.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R7974	Xerox	8R7974	Xerox 8R7974 Yellow Ink cartridge	Compatible Yellow Ink Cartridge for Xerox 8R7974 (Y103)	2.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R7974&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/photos/original/INK-Xerox-8R7974.jpg	Yes	New	3.99	1	free shipping	Free Shipping on orders over $50.00	7.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
INK-Xerox-8R7994	Xerox	8R7994	Xerox 8R7994 Black Ink cartridge	Compatible Black Ink Cartridge for Xerox 8R7994	5.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-Xerox-8R7994&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300198 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Others	http://www.compandsave.com/v/vspfiles/templates/10/images/nophoto.gif	Yes	New	3.99	1	free shipping	Free Shipping on orders over $50.00	7.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-11x17-GLOSSY-100PK	Generic	11x17-GLOSSY-100PK	Premium 11x17 Glossy Inkjet Photo Paper 100 sheets	Premium Glossy Inkjet Photo Paper (11" x 17") 100 sheets - Resin Coated	49.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-11x17-GLOSSY-100PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-100PK.jpg	Yes	New	3.99	7.85	free shipping	Free Shipping on orders over $50.00	129.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-11x17-GLOSSY-20PK	Generic	11x17-GLOSSY-20PK	Premium 11x17 Glossy Inkjet Photo Paper 20 sheets	Premium Glossy Inkjet Photo Paper (11" x 17") 20 sheets - Resin Coated	15.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-11x17-GLOSSY-20PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-20PK.jpg	Yes	New	3.99	1.56875	free shipping	Free Shipping on orders over $50.00	29.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-11x17-LUSTRE-100PK	Generic	11x17-LUSTRE-100PK	Premium 11x17 Lustre Inkjet Photo Paper 100 sheets	Premium Lustre Inkjet Photo Paper (11" x 17") 100 sheets - Resin Coated	49.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-11x17-LUSTRE-100PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-100PK.jpg	Yes	New	3.99	7.45625	free shipping	Free Shipping on orders over $50.00	129.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-11x17-LUSTRE-20PK	Generic	11x17-LUSTRE-20PK	Premium 11x17 Lustre Inkjet Photo Paper 20 sheets	Premium Lustre Inkjet Photo Paper (11" x 17") 20 sheets - Resin Coated	15.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-11x17-LUSTRE-20PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-20PK.jpg	Yes	New	3.99	1.4875	free shipping	Free Shipping on orders over $50.00	29.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-11x17-MATTE-100PK	Generic	11x17-MATTE-100PK	Premium 11x17 Matte Inkjet Photo Paper 100 sheets	Premium Matte Inkjet Photo Paper (11"X17") 100 sheets - Resin Coated	49.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-11x17-MATTE-100PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-100PK.jpg	Yes	New	3.99	7.85	free shipping	Free Shipping on orders over $50.00	129.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-11x17-MATTE-20PK	Generic	11x17-MATTE-20PK	Premium 11x17 Matte Inkjet Photo Paper - 20 sheets	Premium Matte Inkjet Photo Paper (11"X17") 20 sheets - Resin Coated	15.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-11x17-MATTE-20PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-20PK.jpg	Yes	New	3.99	1.56875	free shipping	Free Shipping on orders over $50.00	29.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-4x6-CANVAS-100PK	Generic	4x6-CANVAS-100PK	Premium 4x6 Canvas Inkjet Photo Paper 100 sheets	Premium Canvas Textured Inkjet Photo Paper (4"X6") 100 sheets - Resin Coated	6.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-4x6-CANVAS-100PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-100PK.jpg	Yes	New	3.99	0.9875	free shipping	Free Shipping on orders over $50.00	14.9500	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-4x6-CANVAS-20PK	Generic	4x6-CANVAS-20PK	Premium 4x6 Canvas Inkjet Photo Paper 20 sheets	Premium Canvas Textured Inkjet Photo Paper (4"X6") 20 sheets - Resin Coated	1.7900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-4x6-CANVAS-20PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-20PK.jpg	Yes	New	3.99	0.2	free shipping	Free Shipping on orders over $50.00	2.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
PH-4x6-GLOSSY-100PK	Generic	4x6-GLOSSY-100PK	Premium 4x6 Glossy Inkjet Photo Paper - 100 sheets	Premium Glossy Inkjet Photo Paper (4"X6") 100 sheets - Resin Coated	6.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=PH-4x6-GLOSSY-100PK&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300191 : Computers / Computer Accessories / Printer Accessories / Others	http://www.compandsave.com/v/vspfiles/photos/original/PH-4x6-GLOSSY-100PK.jpg	Yes	New	3.99	0.9125	free shipping	Free Shipping on orders over $50.00	14.9500	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10
