productID,title,productURL,imageURL,price
DRUM-Brother-DR720,Brother DR720 Laser Cartridge Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR720&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR720.jpg,41.99
DRUM-Dell-MW685,Dell 1720 1720dn Black Laser Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Dell-MW685&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Dell-MW685.jpg,41.99
DRUM-Dell-MY323,Dell 1125 Black Laser Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Dell-MY323&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Dell-MY323.jpg,39.99
DRUM-Dell-W5389,Dell 1700 1710n Black Laser Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Dell-W5389&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Dell-W5389.jpg,39.99
DRUM-HP-C9704A,Hewlett Packard HP C9704A Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-HP-C9704A&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-HP-C9704A.jpg,69.99
DRUM-HP-CB384A,Hewlett Packard HP CB384A Black Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-HP-CB384A&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-HP-CB384A.jpg,84.99
DRUM-HP-CB385A,Hewlett Packard HP CB385A Cyan Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-HP-CB385A&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-HP-CB385A.jpg,94.99
DRUM-HP-CB386A,Hewlett Packard HP CB386A Yellow Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-HP-CB386A&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-HP-CB386A.jpg,94.99
DRUM-HP-CB387A,Hewlett Packard HP CB387A Magenta Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-HP-CB387A&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-HP-CB387A.jpg,94.99
DRUM-HP-Q3964A,Hewlett Packard HP Q3964A Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-HP-Q3964A&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-HP-Q3964A.jpg,69.99
DRUM-Lexmark-E250X22G,Lexmark E250X22G Black Laser Drum Cartridge,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Lexmark-E250X22G&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Lexmark-E250X22G.jpg,41.99
DRUM-Minolta-4519401,Konica-Minolta 1400 Black Laser Drum Unit,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Minolta-4519401&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Minolta-4519401.jpg,39.99
DRUM-Sharp-AL-100DR,Sharp AL-100DR Laser Drum Cartridge,http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Sharp-AL-100DR&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Sharp-AL-100DR.jpg,79.99
INK-BROTHER-LC02BK,Brother LC02BK Black Ink Cartridge,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-BROTHER-LC02BK&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/INK-BROTHER-LC02BK.jpg,3.99
INK-BROTHER-LC02C,Brother LC02C Cyan Ink Cartridge,http://www.compandsave.com/ProductDetails.asp?ProductCode=INK-BROTHER-LC02C&utm_source=Facebook&utm_medium=Social_Media&utm_campaign=FacebookShopping,http://www.compandsave.com/v/vspfiles/photos/original/INK-BROTHER-LC02C.jpg,3.99
